Country me,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Faroe Islands,FRO,-1.869084378,-2.238741863,-1.904682584,-1.043081779,6.555538187,7.658200224,2.313841046,2.176404606,2.699948021,3.398639584,3.181664245,2.560875335,1.973906663,1.836936296,1.260933455,0.675574502,0.544295161,0.450485412,0.383084293,0.321462932,0.280434858,0.294609855
Fiji,FJI,3.03715229,3.183651825,3.159342782,3.012139865,2.86430698,2.03008095,1.769053332,1.59774448,1.408333473,1.183018937,0.989327969,0.918533256,1.010985893,1.211654022,1.460311347,1.662078875,1.785087843,1.779571494,1.697537058,1.595917072,1.513443845,1.44136874
Finland,FIN,0.918226849,0.833929125,0.777430262,0.721897583,0.648659887,0.596105747,0.560873975,0.524180976,0.496415301,0.452527985,0.406146959,0.40197389,0.452371561,0.502793641,0.542867278,0.583073551,0.622924638,0.634201339,0.611998069,0.619009285,0.632214707,0.619285987
France,FRA,0.728683672,0.662863995,0.60128417,0.587099931,0.580753272,0.577249296,0.590293357,0.775320144,1.024238178,1.064637883,1.059019442,1.03816311,1.063323159,1.074557313,1.016918477,0.933554508,0.871427829,0.824803549,0.799563702,0.78824183,0.783847099,0.772221093
French Polynesia,PYF,1.17099257,1.063386049,1.110375222,1.263226838,1.44578869,1.826973893,1.925132588,1.854370037,1.703417238,1.546926242,1.414689824,1.6034279,1.663619054,1.564803888,1.462610755,1.364500474,0.811863252,0.730142358,0.766470183,0.807824725,0.837092502,0.856558451
Gabon,GAB,4.467565847,4.356073543,4.260167419,4.124061857,3.99696736,3.872011254,3.73635953,3.584562628,3.425936301,3.273003106,3.136269907,3.029082896,2.955787066,2.910692042,2.86979661,2.827709138,2.788475763,2.750077829,2.712497432,2.675053325,2.639733896,2.595266995
"Gambia, The",GMB,5.909892691,5.473719675,4.879129982,4.84422699,4.829657059,4.791436855,4.79680983,4.828324796,4.881506962,4.941395402,4.996302251,5.024093476,4.971908772,4.894455111,4.815412177,4.741428093,4.679052909,4.62210063,4.574635664,4.525316544,4.469183337,4.403207246
Georgia,GEO,0.335584058,0.329551199,-1.455868541,-3.102613373,-2.970637085,-2.296284361,-1.433178845,-1.233297137,-1.227841419,-1.181608141,-0.873106181,-1.180835369,-1.197957276,-1.191602356,-1.19239277,-1.219036498,-1.187011523,-1.112690171,-1.03927215,-1.029886292,-1.023684902,-1.013206836
Germany,DEU,0.884470377,0.686013681,0.295058979,0.216155725,0.215764515,0.061615142,-0.075098777,0.009904514,0.139537496,0.231161277,0.251524924,0.135960914,0.054729836,0.033236124,0.076512022,0.139399919,0.080877844,0.014205771,0.113677274,0.290185263,-1.42320917,2.370250384
Gha,GHA,4.768713732,4.708172255,4.592191443,4.433961652,4.272259249,4.135952263,4.071147762,4.075281953,4.078618643,3.978014809,4.029950594,4.062247688,4.067966884,4.043819275,4.022403445,3.999882922,3.967647519,3.919361627,3.871498697,3.814516441,3.746107493,3.668591755
Gibraltar,GIB,0.411424069,0.409738304,0.327320496,0.18341898,-0.003665085,-0.139372845,-0.128541803,0.080816991,0.432361805,0.833778109,1.164333756,1.377417539,1.417965636,1.336261099,1.220173383,1.124878853,1.065848143,1.051318861,1.063161194,1.084170557,1.072542257,1.007581161
Greece,GRC,0.934038999,0.756746029,0.66752056,0.635109319,0.606925097,0.657865751,0.719920109,0.547519475,0.572820546,0.790435679,0.900026595,0.763851549,0.76716829,0.803596722,0.802744715,0.750673417,0.754959747,0.743552267,0.601864645,0.318901464,-0.083871778,-0.280651642
Greenland,GRL,-0.027019725,0.072036381,0.788994096,0.785032886,0.424413201,0.334720975,0.331413198,0.153263446,0.329813441,0.57185879,0.75814392,0.570743514,0.550483595,0.378032137,0.09534404,-0.014825326,-0.036013516,0.346884734,1.379795004,0.413571536,0.382947921,-0.070269715
Greda,GRD,1.541373511,1.892401079,1.87779478,1.612468722,1.29944602,1.079988387,0.926088451,0.884370857,0.923265801,0.87675536,0.114149058,0.135722062,0.146373224,0.154272985,0.167535911,0.186121842,0.201914215,0.220293993,0.230519844,0.243344908,0.293364836,0.350905536
Guam,GUM,2.610050534,2.534284152,2.380164376,2.171210384,1.95323184,1.750542538,1.538590698,1.32397291,1.087080552,0.810367721,0.633651139,0.477872985,0.340524384,0.234240362,0.120618742,0.039725156,0.086129172,0.294163291,0.611741287,0.978988909,1.295798321,1.499615862
Guatemala,GTM,3.420503955,3.419177746,3.409201918,3.384359369,3.359875481,3.335367404,3.324291883,3.320473895,3.32481493,3.328052599,3.322757249,3.306287694,3.27697215,3.23262755,3.187044129,3.145609296,3.106720922,3.076915357,3.050038221,3.021184372,2.994877009,2.963971643
Guinea,GIN,6.875926294,6.81949559,6.190968068,5.241964792,4.270743777,3.503342281,2.99130766,2.78192041,2.800426134,2.847782449,2.855276768,2.941722072,3.095877485,3.29702024,3.522345392,3.733656144,3.881112053,3.958839146,3.971909653,3.979885924,3.992981299,3.995596772
Guinea-Bissau,GNB,5.473670548,4.699342091,4.657824968,4.61281234,4.571394239,4.523989628,4.480288619,4.438004945,4.398617039,4.354141644,4.321068066,4.294652175,4.274472681,4.25156859,4.239266784,4.223280582,4.224965395,4.241403575,4.275919896,4.261092118,4.239664529,4.188257279
Guya,GUY,-0.285834818,0.015637921,0.155771753,0.173005517,0.174121122,0.193583545,0.166436327,0.079828701,-0.032393378,-0.179997746,-0.315659802,-0.382006469,-0.307894724,-0.15596918,0.010468962,0.164029163,0.283207692,0.364567852,0.411200478,0.447428039,0.503186816,0.567357652
Haiti,HTI,5.798464675,3.824503474,3.780844946,3.73789705,3.701031508,3.588704136,3.54150758,3.489652251,3.430933024,6.196312078,6.043852762,5.890680555,5.758831301,5.508859455,5.287149349,5.064015706,4.83861077,4.613306433,4.389840224,4.173074423,3.96677642,3.765651601
