Country me,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Japan,JPN,77.61,77.746,77.881,78.016,78.145,78.272,78.398,78.523,78.649,79.99,81.647,83.196,84.64,85.978,87.057,88.013,88.909,89.743,90.522,91.248,91.902,92.491
Jordan,JOR,75.586,76.68,77.74,78.365,78.66,78.951,79.239,79.525,79.808,80.087,80.364,80.638,80.909,81.177,81.442,81.704,81.964,82.22,82.473,82.724,82.97,83.211
Kazakhstan,KAZ,56.083,55.992,55.9,55.921,55.943,55.964,55.986,55.93,55.729,55.527,55.326,55.124,54.921,54.719,54.516,54.314,54.111,53.908,53.732,53.581,53.458,53.361
Kenya,KEN,17.342,17.645,17.952,18.263,18.579,18.898,19.222,19.55,19.892,20.239,20.591,20.948,21.31,21.675,22.045,22.42,22.8,23.183,23.571,23.967,24.37,24.78
Kiribati,KIR,35.555,35.839,36.123,36.409,37.386,38.752,40.138,41.54,42.958,43.473,43.492,43.512,43.532,43.551,43.571,43.603,43.647,43.704,43.773,43.855,43.948,44.055
"Korea, Dem. People’s Rep.",PRK,58.679,58.826,58.939,59.018,59.097,59.176,59.255,59.334,59.412,59.491,59.57,59.648,59.727,59.805,59.884,59.962,60.04,60.118,60.21,60.316,60.436,60.569
"Korea, Rep.",KOR,75.82,76.645,77.452,78.239,78.662,78.905,79.145,79.384,79.621,79.94,80.299,80.652,81.002,81.345,81.528,81.631,81.733,81.835,81.936,82.037,82.141,82.249
Kosovo,XKX,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,98.002,98.016,98.029,98.043,98.057,98.071,98.085,98.099,98.113,98.128,98.142,98.157,98.172,98.187,98.202,98.217,98.232,98.248,98.263,98.279,98.294,98.31
Kyrgyz Republic,KGZ,37.203,36.918,36.633,36.349,36.066,35.785,35.504,35.3,35.298,35.296,35.295,35.293,35.292,35.29,35.289,35.287,35.285,35.284,35.303,35.342,35.403,35.483
Lao PDR,LAO,16.133,16.49,16.854,17.378,18.234,19.12,20.039,20.991,21.977,22.993,24.044,25.126,26.242,27.386,28.537,29.688,30.839,31.985,33.123,34.252,35.368,36.469
Latvia,LVA,68.852,68.799,68.901,68.75,68.65,68.6,68.451,68.22,68.067,67.95,67.85,67.8,67.9,68,67.967,67.9,67.834,67.764,67.692,67.62,67.548,67.476
Lebanon,LBN,83.818,84.157,84.491,84.82,85.142,85.459,85.77,85.885,86,86.115,86.231,86.348,86.466,86.584,86.703,86.822,86.942,87.062,87.183,87.304,87.426,87.548
Lesotho,LSO,15.106,15.703,16.319,16.955,17.571,18.049,18.538,19.038,19.548,20.067,20.597,21.137,21.689,22.249,22.82,23.293,23.774,24.259,24.753,25.253,25.76,26.271
Liberia,LBR,55.019,52.009,48.981,45.96,42.964,43.304,43.646,43.988,44.331,44.673,45.017,45.361,45.706,46.051,46.396,46.742,47.088,47.441,47.801,48.168,48.541,48.921
Libya,LBY,75.832,75.886,75.94,75.994,76.048,76.11,76.181,76.259,76.346,76.441,76.544,76.655,76.774,76.9,77.034,77.175,77.324,77.479,77.642,77.812,77.988,78.17
Liechtenstein,LIE,16.736,16.651,16.566,16.482,16.29,15.994,15.702,15.414,15.13,14.962,14.906,14.85,14.795,14.739,14.684,14.629,14.574,14.519,14.464,14.41,14.365,14.33
Lithuania,LTU,67.464,67.404,67.345,67.285,67.225,67.166,67.106,67.046,66.986,66.919,66.828,66.737,66.646,66.635,66.706,66.777,66.848,66.842,66.757,66.672,66.604,66.554
Luxembourg,LUX,81.528,81.857,82.482,82.893,82.825,82.779,82.893,83.448,84.216,84.843,85.299,85.743,86.177,86.598,87.009,87.409,87.8,88.178,88.547,88.906,89.247,89.568
"Macao SAR, Chi",MAC,99.839,99.867,99.891,99.91,99.98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Macedonia, FYR",MKD,58.764,59.291,59.794,59.587,59.38,59.172,58.965,58.757,58.548,58.339,58.13,57.921,57.711,57.527,57.369,57.236,57.129,57.047,56.992,56.962,56.959,56.981
Madagascar,MDG,24.681,25.251,25.536,25.796,26.058,26.321,26.586,26.853,27.121,27.391,27.663,27.936,28.211,28.814,29.425,30.043,30.67,31.298,31.929,32.562,33.196,33.832
Malawi,MWI,12.218,12.558,12.907,13.263,13.629,14.002,14.384,14.522,14.61,14.698,14.786,14.875,14.964,15.054,15.144,15.235,15.326,15.427,15.54,15.663,15.798,15.944
Malaysia,MYS,51.814,53.109,54.402,55.688,56.969,58.237,59.496,60.742,61.977,62.922,63.856,64.78,65.694,66.594,67.483,68.36,69.225,70.075,70.912,71.735,72.526,73.284
Maldives,MDV,25.713,25.649,25.586,25.638,26.008,26.379,26.755,27.134,27.706,28.859,30.042,31.252,32.49,33.75,35.034,36.303,37.553,38.781,39.984,41.159,42.303,43.416
Mali,MLI,24.186,24.624,25.069,25.519,25.975,26.434,26.948,27.646,28.356,29.075,29.806,30.547,31.3,32.06,32.832,33.612,34.403,35.2,35.996,36.789,37.579,38.363
Malta,MLT,90.611,90.723,90.835,90.946,91.181,91.492,91.793,92.085,92.368,92.641,92.905,93.16,93.407,93.645,93.875,94.092,94.295,94.486,94.665,94.833,94.991,95.139
Marshall Islands,MHL,65.728,66.063,66.396,66.727,67.058,67.385,67.712,68.037,68.358,68.674,68.987,69.296,69.6,69.901,70.197,70.49,70.778,71.062,71.343,71.619,71.891,72.159
Mauritania,MRT,42.887,43.672,44.462,45.254,46.049,46.845,47.643,48.442,49.244,50.043,50.832,51.61,52.375,53.127,53.866,54.592,55.303,56,56.682,57.348,58,58.636
Mauritius,MUS,43.653,43.53,43.407,43.284,43.161,43.038,42.916,42.793,42.67,42.46,42.25,42.04,41.83,41.621,41.412,41.203,40.995,40.787,40.579,40.372,40.164,39.979
Mexico,MEX,72.209,72.598,72.985,73.368,73.67,73.929,74.186,74.441,74.722,75.045,75.365,75.682,75.997,76.308,76.617,76.923,77.227,77.527,77.825,78.118,78.407,78.691
"Micronesia, Fed. Sts.",FSM,25.686,25.62,25.554,25.068,24.473,23.889,23.314,22.749,22.33,22.33,22.33,22.33,22.33,22.33,22.324,22.317,22.311,22.305,22.298,22.303,22.317,22.342
Moldova,MDA,46.575,46.481,46.387,46.294,46.2,46.101,46.002,45.902,45.803,45.704,45.605,45.506,45.407,45.308,45.209,45.11,45.011,44.936,44.886,44.859,44.857,44.879
Moco,MCO,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mongolia,MNG,56.942,56.896,56.851,56.805,56.76,56.714,56.669,56.623,57.133,58.222,59.304,60.378,61.443,62.494,63.535,64.564,65.581,66.58,67.567,68.538,69.472,70.366
Montenegro,MNE,50.218,51.267,52.317,53.365,54.412,55.451,56.488,57.518,58.544,59.559,60.568,61.568,62.02,62.2,62.38,62.56,62.739,62.918,63.096,63.274,63.457,63.643
Morocco,MAR,49.844,50.569,51.295,51.692,52.022,52.35,52.678,53.007,53.335,53.662,53.99,54.317,54.644,55.126,55.64,56.153,56.665,57.175,57.684,58.191,58.697,59.2
Mozambique,MOZ,25.98,26.479,26.984,27.495,28.013,28.535,28.742,28.92,29.098,29.277,29.457,29.637,29.818,29.999,30.182,30.364,30.548,30.745,30.955,31.179,31.417,31.669
Myanmar,MMR,24.896,25.086,25.296,25.525,25.773,26.042,26.33,26.639,26.968,27.318,27.689,28.081,28.495,28.93,29.386,29.865,30.363,30.881,31.405,31.935,32.469,33.007
mibia,M,28.336,28.823,29.316,29.813,30.316,30.823,31.335,31.851,32.373,32.898,33.766,34.709,35.666,36.632,37.61,38.598,39.597,40.601,41.616,42.637,43.666,44.679
uru,NRU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nepal,NPL,9.585,10.005,10.442,10.895,11.367,11.855,12.361,12.886,13.431,13.967,14.263,14.564,14.871,15.183,15.5,15.822,16.15,16.483,16.822,17.166,17.518,17.877
Netherlands,NLD,70.223,71.1,71.962,72.809,73.64,74.453,75.25,76.03,76.795,77.83,79.113,80.341,81.514,82.63,83.636,84.539,85.402,86.242,87.061,87.837,88.575,89.271
New Caledonia,NCL,59.759,59.869,59.979,60.09,60.2,60.597,60.992,61.387,61.78,62.171,62.561,62.949,63.336,63.965,64.638,65.306,65.969,66.624,67.273,67.901,68.509,69.096
New Zealand,NZL,85.034,85.134,85.234,85.333,85.421,85.485,85.549,85.613,85.677,85.764,85.9,86,86.026,86.052,86.078,86.104,86.13,86.148,86.165,86.183,86.2,86.223
Nicaragua,NIC,52.817,53.056,53.295,53.534,53.775,54.016,54.256,54.496,54.737,54.976,55.216,55.455,55.695,55.933,56.181,56.437,56.701,56.974,57.255,57.544,57.841,58.146
